| appname | description | site | download | version |
| cryptomator | Cryptomator provides easy-to-use, transparent, client-side encryption for your cloud. It protects your documents from unauthorized access and prying eyes, while you will still be able to view and edit your documents locally. By not requiring any registration or account and performing all encryption locally, it gives you back control over your data and ensures your privacy. Cryptomator is offered for all major platforms (including Android and iOS). Cryptomator encrypts file contents and names using the widespread industry standard AES. Your passphrase is protected against brute forcing attempts using scrypt. Additionally, directory structures get obfuscated. For more info about the Cryptomator encryption scheme, check out the online documentation. Cryptomator is a free and open-source software licensed under the GPLv3. This allows anyone to check our code. Thus, it is impossible to introduce backdoors for third parties or to hide vulnerabilities, so you do not need to trust Cryptomator. Also, vendor lock-ins are impossible. Even if we decided to stop development: The source code is already cloned by hundreds of other developers and development can be picked up by others | https://github.com/cryptomator/cryptomator/releases | https://github.com/cryptomator/cryptomator/releases/download/1.17.0/cryptomator-1.17.0-aarch64.AppImage | 1.17.0 |
| dbgate | Opensource database administration tool | https://github.com/dbgate/dbgate/releases | https://github.com/dbgate/dbgate/releases/download/v6.5.4/dbgate-latest-arm64.AppImage | v6.5.4 |
| deltachat-desktop | Desktop Application for delta.chat | https://github.com/deltachat/deltachat-desktop/releases | https://github.com/deltachat/deltachat-desktop/releases/download/v1.59.1/DeltaChat-1.59.1-arm64.AppImage | v1.59.1 |
| dexter_dev_env | Dexter Development Environment | https://github.com/cfry/dde/releases | https://github.com/cfry/dde/releases/download/v3.9.2/dexter_dev_env-3.9.2-arm64.AppImage | v3.9.2 |
| dingtalk | 钉钉桌面版，基于electron和钉钉网页版开发，支持Windows、Linux和macOS | https://github.com/nashaofu/dingtalk/releases | https://github.com/nashaofu/dingtalk/releases/download/v2.1.22/dingtalk-2.1.22-latest-arm64.AppImage | v2.1.22 |
| draw.io | draw.io desktop | https://github.com/jgraph/drawio-desktop/releases | https://github.com/jgraph/drawio-desktop/releases/download/v27.0.9/drawio-arm64-27.0.9.AppImage | v27.0.9 |
| easyedit | A lightweight Markdown editor built with Electron | https://github.com/gcclinux/EasyEdit/releases | https://github.com/gcclinux/EasyEdit/releases/download/1.3.7/EasyEdit-1.3.7-arm64.AppImage | 1.3.7 |
| edex-ui | A science fiction desktop running everywhere. Awesome | https://github.com/GitSquared/edex-ui/releases | https://github.com/GitSquared/edex-ui/releases/download/v2.2.8/eDEX-UI-Linux-arm64.AppImage | v2.2.8 |
| eternal-lands | Eternal Lands is a free 3D fantasy MMORPG (massively multiplayer online role playing game) that can be played on Windows, Android, Linux and OSX. There are 12 skills in the game: Attack, Defense, Harvest, Alchemy, Magic, Potion, Summoning, Manufacturing, Crafting, Engineering, Tailoring and Ranging. There are no fixed class restrictions, so you can develop your character in any way you wish. You, as a player, determine exactly how you develop your character. If you make mistakes, or decide to change or adjust your build, you can do so. Eternal Lands is not just about combat. Many players focus on more peaceful activities such as collecting resources, creating items, summoning monsters and so on. But if you like combat, there is plenty of it as well, both PvP and PvE. Eternal Lands is owned and run by Radu Privantu. This package is built and maintained by one of the client developers known in game as bluap | https://github.com/raduprv/Eternal-Lands/releases | https://github.com/raduprv/Eternal-Lands/releases/download/1.9.7.0-4/EternalLands-Linux-aarch64_1.9.7.0.AppImage | 1.9.7.0-4 |
| explorook | Rookout’s site addon to support local files and folders | https://github.com/Rookout/explorook/releases | https://github.com/Rookout/explorook/releases/download/v1.16.6/Rookout-Desktop-App-1.16.6-arm64.AppImage | v1.16.6 |
| figma | Unofficial desktop application for linux | https://github.com/Figma-Linux/figma-linux/releases | https://github.com/Figma-Linux/figma-linux/releases/download/v0.11.5/figma-linux_0.11.5_linux_arm64.AppImage | v0.11.5 |
| fre:ac | fre:ac is a free and open source audio converter. It comes with an integrated tag editor and converts between various formats. Features include: Support for MP3, MP4/AAC, Opus, FLAC and other formats Integrated player and tag editor Support for playlists, cue sheets and chapters Fast, multi-threaded conversion engine Ability to convert to multiple formats at once Can verify lossless input and output files Support for freedb/CDDB queries and submits Support for using command line codecs User interface available in 40+ languages Optional command line interface | https://github.com/enzo1982/freac/releases | https://github.com/enzo1982/freac/releases/download/continuous/freac-continuous-linux-aarch64.AppImage | continuous |
| freecad-asm3 | FreeCAD is an open-source parametric 3D modeler made primarily to design real-life objects of any size. Parametric modeling allows you to easily modify your design by going back into your model history and changing its parameters. It is designed to fit a wide range of uses including product design, mechanical engineering, architecture and 3D printing. FreeCAD allows you to sketch geometry constrained 2D shapes and use them as a base to build other objects. It contains many components to adjust dimensions or extract design details from 3D models to create high quality production-ready drawings. it is a multiplatfom (Windows, Mac and Linux), highly customizable using the Python language. It reads and writes to many open file formats such as STEP, IGES, STL, SVG, DXF, OBJ, IFC, DAE and many others, making it possible to seamlessly integrate it into your workflow. FreeCAD includes a modern Finite Element Analysis (FEA) tools, experimental CFD, BIM, Geodata workbenches, a Path (CNC) workbench, a robot simulation module that allows you to study robot movements and many more, and a rich collection of plugins and macros installable directly from within the application | https://github.com/realthunder/FreeCAD/releases | https://github.com/realthunder/FreeCAD/releases/download/20240407stable/FreeCAD-Link-Stable-Linux-aarch64-py3.11-20240407.AppImage | 20240407stable |
| freecad2 | FreeCAD is a parametric 3D modeler. Parametric modeling allows you to easily modify your design by going back into your model history and changing its parameters. FreeCAD is open source (LGPL license) and completely modular, allowing for very advanced extension and customization. FreeCAD is multiplatfom, and reads and writes many open file formats such as STEP, IGES, STL and others | https://github.com/FreeCAD/FreeCAD/releases | https://github.com/FreeCAD/FreeCAD/releases/download/weekly-2025.06.23/FreeCAD_weekly-2025.06.23-Linux-aarch64-py311.AppImage | weekly-2025.06.23 |
| freetube | A private YouTube client | https://github.com/FreeTubeApp/FreeTube/releases | https://github.com/FreeTubeApp/FreeTube/releases/download/v0.23.5-beta/freetube-0.23.5-arm64.AppImage | v0.23.5-beta |
| gdevelop | GDevelop 5 IDE running on the Electron runtime | https://github.com/4ian/GDevelop/releases | https://github.com/4ian/GDevelop/releases/download/v5.5.232/GDevelop-5-5.5.232-arm64.AppImage | v5.5.232 |
| getswell | Swell | https://github.com/getswell/getswell/releases | https://github.com/open-source-labs/Swell/releases/download/v1.12.0/Swell-1.12.0-arm64.AppImage | v1.12.0 |
| ghostty | Ghostty is a terminal emulator that differentiates itself by being fast, feature-rich, and native. While there are many excellent terminal emulators available, they all force you to choose between speed, features, or native UIs. Ghostty provides all three. In all categories, I am not trying to claim that Ghostty is the best (i.e. the fastest, most feature-rich, or most native). But Ghostty is competitive in all three categories and Ghostty doesn&apos;t make you choose between them. Ghostty also intends to push the boundaries of what is possible with a terminal emulator by exposing modern, opt-in features that enable CLI tool developers to build more feature rich, interactive applications. While aiming for this ambitious goal, our first step is to make Ghostty one of the best fully standards compliant terminal emulator, remaining compatible with all existing shells and software while supporting all of the latest terminal innovations in the ecosystem. You can use Ghostty as a drop-in replacement for your existing terminal emulator | https://github.com/psadi/ghostty-appimage/releases | https://github.com/pkgforge-dev/ghostty-appimage/releases/download/tip/Ghostty-1.1.4-main%2Bfa47db5-aarch64.AppImage | tip |
| githubdesktop | Simple collaboration from your desktop | https://github.com/shiftkey/desktop/releases | https://github.com/shiftkey/desktop/releases/download/release-3.4.9-linux1/GitHubDesktop-linux-arm64-3.4.9-linux1.AppImage | release-3.4.9-linux1 |
| glyphr_studio_desktop | Font design has a high barrier of entry. Professional font design programs are very complex, and/or quite expensive. Glyphr Studio is streamlined and made for font design hobbyists... and it's free! | https://github.com/glyphr-studio/Glyphr-Studio-Desktop/releases | https://github.com/glyphr-studio/Glyphr-Studio-Desktop/releases/download/v0.6.0/Glyphr.Studio-0.6.0-arm64.AppImage | v0.6.0 |
| gpgfrontend | A Cross-Platform OpenPGP Frontend Software | https://github.com/saturneric/GpgFrontend/releases | https://github.com/saturneric/GpgFrontend/releases/download/nightly/Gpg_Frontend-a4fc74e-aarch64.AppImage | nightly |
| gulden | The payment system of the future today | https://github.com/Gulden/gulden-official/releases | https://github.com/muntorg/munt-official/releases/download/v3.0.7/Munt-3.0.7-arm64.AppImage | v3.0.7 |
| hermesmessenger | Desktop client version of the Hermes Messenger | https://github.com/HermesMessenger/HermesDesktop/releases | https://github.com/HermesMessenger/HermesDesktop/releases/download/v1.0.0-11/HermesMessenger-Linux-arm64.AppImage | v1.0.0-11 |
