| appname | description | site | download | version |
| cromite | A Bromite fork with ad blocking and privacy enhancements | https://github.com/pkgforge-dev/Cromite-AppImage | oci://ghcr.io/pkgforge/pkgcache/cromite/appimage/pkgforge-dev/stable/cromite:v136.0.7103.60-x86_64-linux | v136.0.7103.60 |
| ddgr | DuckDuckGo from the terminal | https://pypi.org/project/ddgr | oci://ghcr.io/pkgforge/pkgcache/ddgr/archive/sharun/pypi/ddgr:2.2-x86_64-linux | 2.2 |
| ddnet | Cooperative online platform game based on Teeworlds | https://github.com/ddnet/ddnet | oci://ghcr.io/pkgforge/pkgcache/ddnet/runimage/cachyos/stable/ddnet:19.2-x86_64-linux | 19.2 |
| deltapatcher | GUI to create and apply xdelta patches | https://github.com/marco-calautti/DeltaPatcher | oci://ghcr.io/pkgforge/pkgcache/deltapatcher/runimage/debian/stable/deltapatcher:v3.1.5-x86_64-linux | v3.1.5 |
| discord/discord | All-in-one cross-platform voice and text chat for gamers (Canary) | https://discordapp.com | oci://ghcr.io/pkgforge/pkgcache/discord/nixappimage/nixpkgs/canary/discord:0.0.687-x86_64-linux | 0.0.687 |
| discord/discord | All-in-one cross-platform voice and text chat for gamers (Public Test Beta) | https://discordapp.com | oci://ghcr.io/pkgforge/pkgcache/discord/nixappimage/nixpkgs/ptb/discord:0.0.146-x86_64-linux | 0.0.146 |
| discord/discord | All-in-one cross-platform voice and text chat for gamers | https://discordapp.com | oci://ghcr.io/pkgforge/pkgcache/discord/nixappimage/nixpkgs/stable/discord:0.0.95-x86_64-linux | 0.0.95 |
| discord/discord | All-in-one cross-platform voice and text chat for gamers (Development) | https://discordapp.com | oci://ghcr.io/pkgforge/pkgcache/discord/nixappimage/nixpkgs/development/discord:0.0.75-x86_64-linux | 0.0.75 |
| dnsvalidator | Tool to validate, verify & maintain a list of IPv4 DNS servers | https://github.com/vortexau/dnsvalidator | oci://ghcr.io/pkgforge/pkgcache/dnsvalidator/archive/sharun/source/dnsvalidator:HEAD-146c9b0-230118T005036-x86_64-linux | HEAD-146c9b0-230118T005036 |
| dotbins | Manage CLI tool binaries in your dotfiles repository | https://pypi.org/project/dotbins | oci://ghcr.io/pkgforge/pkgcache/dotbins/archive/sharun/pypi/dotbins:2.3.0-x86_64-linux | 2.3.0 |
